ID;TRADEDATE;OPEN;CLOSE
MCFTR;2012-04-16;1667,15;1667,15
MCFTR;2012-04-17;1660,27;1660,27
MCFTR;2012-04-18;1656,82;1656,82
MCFTR;2012-04-19;1688,46;1688,46
MCFTR;2012-04-20;1698,05;1698,05
MCFTR;2012-04-23;1654,32;1654,32
MCFTR;2012-04-24;1644,24;1644,24
MCFTR;2012-04-25;1649,26;1649,26
MCFTR;2012-04-26;1632,57;1632,57
MCFTR;2012-04-27;1658,06;1658,06
MCFTR;2012-04-28;1662,4;1662,4
MCFTR;2012-05-02;1631,42;1631,42
MCFTR;2012-05-03;1627,67;1627,67
MCFTR;2012-05-04;1569,48;1569,48
MCFTR;2012-05-05;1564,15;1564,15
MCFTR;2012-05-07;1562,72;1562,72
MCFTR;2012-05-08;1561,45;1561,45
MCFTR;2012-05-10;1588,86;1588,86
MCFTR;2012-05-11;1570,45;1570,45
MCFTR;2012-05-12;1563,47;1563,47
MCFTR;2012-05-14;1508,88;1508,88
MCFTR;2012-05-15;1517,15;1517,15
MCFTR;2012-05-16;1506,26;1506,26
MCFTR;2012-05-17;1452,88;1452,88
MCFTR;2012-05-18;1434,48;1434,48
MCFTR;2012-05-21;1464,88;1464,88
MCFTR;2012-05-22;1467,89;1467,89
MCFTR;2012-05-23;1417,64;1417,64
MCFTR;2012-05-24;1449,15;1449,15
MCFTR;2012-05-25;1445,9;1445,9
MCFTR;2012-05-28;1456,19;1456,19
MCFTR;2012-05-29;1497,21;1497,21
MCFTR;2012-05-30;1476,02;1476,02
MCFTR;2012-05-31;1473,9;1473,9
MCFTR;2012-06-01;1464,49;1464,49
MCFTR;2012-06-04;1473,27;1473,27
MCFTR;2012-06-05;1463,32;1463,32
MCFTR;2012-06-06;1481,56;1481,56
MCFTR;2012-06-07;1507,65;1507,65
MCFTR;2012-06-08;1503,8;1503,8
MCFTR;2012-06-09;1509,61;1509,61
MCFTR;2012-06-13;1519,04;1519,04
MCFTR;2012-06-14;1518,6;1518,6
MCFTR;2012-06-15;1551,53;1551,53
MCFTR;2012-06-18;1567,07;1567,07
MCFTR;2012-06-19;1568,16;1568,16
MCFTR;2012-06-20;1550,93;1550,93
MCFTR;2012-06-21;1538,39;1538,39
MCFTR;2012-06-22;1519,86;1519,86
MCFTR;2012-06-25;1500,68;1500,68
MCFTR;2012-06-26;1514,97;1514,97
MCFTR;2012-06-27;1542,04;1542,04
MCFTR;2012-06-28;1516,05;1516,05
MCFTR;2012-06-29;1566,41;1566,41
MCFTR;2012-07-02;1583,6;1583,6
MCFTR;2012-07-03;1628,64;1628,64
MCFTR;2012-07-04;1636,41;1636,41
MCFTR;2012-07-05;1626,72;1626,72
MCFTR;2012-07-06;1602,39;1602,39
